Address,Baths,Beds,Price,Size,Suffix
RAJUK PURBACHAL SECTOR-2,3,3,"3,600","1,250 sqft", per sqft
"Plot-19, Road-23, Block: D, Mirpur 12, Dhaka.",4,4,"4,500,000","1,300 sqft", total price
"Plot # 39/1 & 39/1/1, Road No.-04,  Shaymoli, Dhaka",3,3,"7,000","1,280 sqft", per sqft
Uttara,4,3,"13,000,000","1,686 sqft", total price
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,880 sqft", per sqft
"60 feet,Bareak mollar mor,Mirpur-02",3,3,"4,400,000","1,140 sqft", total price
"Basundhara R/A, Block# B, Dhaka",3,3,"17,500,000","2,105 sqft", total price
"Plot # 190, Road # 2, New DOHS, Mohakhali, Dhaka.",4,4,"18,000","2,700 sqft", per sqft
BasundaraR/A,3,3,"7,250","1,560 sqft", per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,490 sqft", per sqft
Uttara,3,3,"10,000,000","1,500 sqft", total price
"594,Chalabon,Dakshinkhan near matir mosjid & CNG Pump",2,2,"3,200",960 sqft, per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,700","1,550 sqft", per sqft
Banani,3,3,"22,000,000","2,200 sqft", total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,135 sqft", per sqft
Khilgaon,2,3,"5,000","1,125 sqft", per sqft
"Bashundhara R/A , Block-I, Road-03, Plot-449 (Near 2nd Mehdi Mart Dept. Store)",3,3,"5,800","1,550 sqft", per sqft
"Sector # 3, Road # 9 @ Uttara, Dhaka - 1230",3,3,"8,500,000","1,350 sqft", total price
Rajuk Uttara Apartment project,4,3,"4,500","1,650 sqft", per sqft
"North Badda, North Badda near bazer",3,3,"5,600","1,600 sqft", per sqft
Gulshan 01,3,3,"20,000,000","1,850 sqft", total price
Mirpur,4,3,"16,500,000","2,200 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,562 sqft", per sqft
Bashundhara,4,3,"9,500","2,000 sqft", per sqft
"Bashtola Road, Shajadpur,  Gulshan-2, Dhaka-1212",3,3,"6,500,000","1,250 sqft", total price
Gulshan Dhaka,4,3,"25,000,000","2,000 sqft", total price
Bashundhara Riverview Residential Area,2,3,"3,500","1,000 sqft", per sqft
Bashundhara,3,3,"6,000","1,600 sqft", per sqft
Bashundhara,3,3,"7,000","1,830 sqft", per sqft
Bashundhara Residential Area,3,3,"18,000,000","1,875 sqft", total price
Near Square Hospital,4,3,"10,000","1,250 sqft", per sqft
Uttara,3,3,"10,000,000","1,640 sqft", total price
"road-15,house-37,block-d,secation-12",2,2,"2,700,000",650 sqft, total price
Baridhara diplomatic zone,4,4,"20,500","3,850 sqft", per sqft
Gulshan 2,4,3,"19,000","2,400 sqft", per sqft
Sector 10 Road 13,3,3,"6,300,000","1,350 sqft", total price
"Sector - 13, Uttara, Dhaka .",4,3,"9,000,000","1,350 sqft", total price
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,495 sqft", per sqft
"road-07,house-119,block-b,secation-12",3,3,"7,800,000","1,350 sqft", total price
"road-07,house-119,block-b,secation-12",3,3,"5,700,000","1,200 sqft", total price
"road-15,house-37,block-d,secation-12",3,3,"5,200,000","1,300 sqft", total price
Uttara,4,5,"9,000,000","1,500 sqft", total price
"Plot No:449,, Road # 3, Block # I (Near 2nd Mehdi Mart Departmental Store )",3,3,"5,800","1,550 sqft", per sqft
"House#24, Road#5,Block#J, Banasree, Dhaka.",2,3,"4,800",950 sqft, per sqft
"road-02,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
Adabor Road 1,3,3,"7,500,000","1,320 sqft", total price
"road-N/6,house-H/25,block-H,Eastern Housing",2,2,"3,600,000",800 sqft, total price
Kallyanpur,2,2,"2,600,000",650 sqft, total price
"road-04,house-27,28,block-ta,secation-12",2,2,"2,800,000",750 sqft, total price
"road-08,house-141,block-E,secation-11",2,2,"4,000,000",720 sqft, total price
"road-15,house-37,block-d,secation-12",2,2,"2,700,000",650 sqft, total price
"Sector#10, Road#09, House# 09, Uttara ,Dhaka",2,3,"4,900","1,050 sqft", per sqft
lalmatia,3,3,"12,000","1,651 sqft", per sqft
"Sector - 07, Uttara, Dhaka .",4,3,"12,000,000","1,548 sqft", total price
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
"Sector - 12, Uttara, Dhaka .",4,3,"10,000,000","1,500 sqft", total price
"Shiddeshwary, Moghbazar",3,3,"10,500,000","1,400 sqft", total price
"road-07,house-119,block-b,secation-12",3,3,"7,800,000","1,350 sqft", total price
"aftabnagar,House #14,Block#B,Road #1",3,3,"8,500,000","1,265 sqft", total price
"Plot - 622, Road - 07, Block - G",4,3,"6,000","1,476 sqft", per sqft
"E/T 7/3 (7th floor).ekota tower,muslim nagor, badsha mia road, demra, dhaka.",3,3,"4,300,000","1,100 sqft", total price
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,700","1,490 sqft", per sqft
"road-2,house-24,block-b,secation-12",3,3,"7,000,000","1,350 sqft", total price
"Ulon Road,  Rampura, Dhaka.",4,3,"7,000,000","1,250 sqft", total price
"Lechu Bagan, Juarashahara, North Baridhara",3,3,"8,000,000","1,450 sqft", total price
"House-16,18, Road-08,Block-M, Banasree, Rampura, Dhaka-1219",3,4,"4,800","1,735 sqft", per sqft
